color_balance: 0.0430s
rotate_hue: 0.8201s
invert_colors: 0.0362s
posterize: 0.0348s
         76656 function calls (75748 primitive calls) in 1.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      100    0.000    0.000    0.001    0.000 Image.py:868(load)
        1    0.000    0.000    0.001    0.001 ImageFilter.py:1(<module>)
      415    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
     2186    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
       20    0.001    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
      382    0.001    0.000    0.001    0.000 enum.py:849(__setattr__)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1299(exec_module)
       34    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      393    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
       10    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.001    0.001 ImageMode.py:1(<module>)
      415    0.001    0.000    0.001    0.000 enum.py:784(__delattr__)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
2953/2889    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       10    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.001    0.001 TiffTags.py:444(_populate)
       53    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1500    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
