sobel: 2.5854s
canny: 1.2202s
kovalevsky: 0.6315s
         794736 function calls (772285 primitive calls) in 4.499 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 pydoc.py:494(Doc)
        3    0.000    0.000    0.001    0.000 __init__.py:928(__init__)
      630    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
      950    0.001    0.000    0.001    0.000 _parser.py:83(groups)
  119/108    0.001    0.000    0.001    0.000 _compiler.py:441(_get_literal_prefix)
        4    0.000    0.000    0.001    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.001    0.001 ascii.py:1(<module>)
      932    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 doccer.py:263(filldoc)
       56    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      584    0.001    0.000    0.001    0.000 inspect.py:3076(<genexpr>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       80    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.001    0.001 doccer.py:292(unindent_dict)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
       21    0.000    0.000    0.001    0.000 contextlib.py:272(contextmanager)
      374    0.000    0.000    0.001    0.000 numerictypes.py:289(issubclass_)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
       41    0.000    0.000    0.001    0.000 <frozen abc>:110(register)
        4    0.000    0.000    0.001    0.000 typing.py:747(Optional)
        1    0.000    0.000    0.001    0.001 cp424.py:1(<module>)
  516/427    0.000    0.000    0.001    0.000 typing.py:1285(__hash__)
   138/86    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 __init__.py:1126(__init__)
       70    0.000    0.000    0.001    0.000 Image.py:868(load)
      691    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      735    0.000    0.000    0.001    0.000 enum.py:202(__get__)
        3    0.000    0.000    0.001    0.000 pathlib.py:437(__str__)
       11    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
       15    0.000    0.000    0.001    0.000 doccer.py:311(unindent_string)
        1    0.000    0.000    0.001    0.001 cp1255.py:1(<module>)
        4    0.001    0.000    0.001    0.000 pathlib.py:387(_parse_path)
      548    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:412(__init__)
      813    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.001    0.001 cp1251.py:1(<module>)
       41    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
       40    0.001    0.000    0.001    0.000 _ni_support.py:110(_check_axes)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      232    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 iso2022_jp_2.py:1(<module>)
      643    0.001    0.000    0.001    0.000 enum.py:59(_is_sunder)
       19    0.000    0.000    0.001    0.000 getlimits.py:493(__new__)
       58    0.000    0.000    0.001    0.000 typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.001    0.001 pathlib.py:519(__eq__)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
       56    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       20    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.generic' objects}
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        2    0.000    0.000    0.001    0.000 pathlib.py:484(_str_normcase)
        1    0.000    0.000    0.001    0.001 TiffTags.py:444(_populate)
        1    0.000    0.000    0.001    0.001 cp720.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _multiufuncs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _shape_base_impl.py:1(<module>)
     1620    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
       23    0.000    0.000    0.001    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.001    0.001 cp775.py:1(<module>)
        1    0.000    0.000    0.001    0.001 symbolic.py:66(RelOp)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cp866.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _distributor_init.py:1(<module>)
       20    0.000    0.000    0.001    0.000 dtype.py:86(_dtype_itemsize)
      386    0.001    0.000    0.001    0.000 functools.py:65(wraps)
        5    0.000    0.000    0.001    0.000 __init__.py:2149(getLogger)
       25    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.001    0.001 iso8859_11.py:1(<module>)
      115    0.001    0.000    0.001    0.000 getlimits.py:697(__init__)
        1    0.000    0.000    0.001    0.001 cp037.py:1(<module>)
       99    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 _polybase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cp437.py:1(<module>)
      550    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 doccer.py:1(<module>)
1214/1125    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
       55    0.000    0.000    0.001    0.000 enum.py:1007(_find_data_type_)
      542    0.000    0.000    0.001    0.000 enum.py:70(_is_internal_class)
        2    0.001    0.000    0.001    0.000 sysconfig.py:263(_extend_dict)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:141(Message)
       30    0.000    0.000    0.001    0.000 _inspect.py:140(formatargspec)
       52    0.000    0.000    0.001    0.000 ipaddress.py:1929(__init__)
       42    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      210    0.000    0.000    0.001    0.000 _docscrape.py:465(_str_summary)
        5    0.000    0.000    0.001    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cp1125.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hz.py:1(<module>)
       30    0.000    0.000    0.001    0.000 Image.py:233(_conv_type_shape)
      115    0.001    0.000    0.001    0.000 _parser.py:77(__init__)
       21    0.000    0.000    0.001    0.000 typing.py:1874(__init__)
        1    0.000    0.000    0.001    0.001 enum.py:862(_create_)
        1    0.000    0.000    0.001    0.001 testing.py:1(<module>)
       52    0.000    0.000    0.001    0.000 core.py:938(__init__)
        1    0.000    0.000    0.001    0.001 cp1253.py:1(<module>)
      101    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
        8    0.000    0.000    0.000    0.000 enum.py:1550(__or__)
        4    0.000    0.000    0.000    0.000 getlimits.py:549(_init)
      786    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
      564    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        6    0.000    0.000    0.000    0.000 __init__.py:695(mtime)
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      553    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 mac_roman.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _filters.py:516(_expand_origin)
        8    0.000    0.000    0.000    0.000 _multiufuncs.py:25(__init__)
       21    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 _map_array.py:1(<module>)
       41    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      913    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _backend.py:52(set_global_backend)
        2    0.000    0.000    0.000    0.000 __init__.py:415(<genexpr>)
        1    0.000    0.000    0.000    0.000 cp855.py:1(<module>)
        1    0.000    0.000    0.000    0.000 add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1254.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        7    0.000    0.000    0.000    0.000 {built-in method _io.open}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 koi8_t.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1548(find_distributions)
        1    0.000    0.000    0.000    0.000 defchararray.py:1(<module>)
       80    0.000    0.000    0.000    0.000 _function_base_impl.py:339(iterable)
        1    0.000    0.000    0.000    0.000 gbk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      661    0.000    0.000    0.000    0.000 typing.py:1629(_value_and_type_iter)
       86    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:777(find_distributions)
    445/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
      210    0.000    0.000    0.000    0.000 _docscrape.py:470(_str_extended_summary)
       20    0.000    0.000    0.000    0.000 _methods.py:58(_any)
        1    0.000    0.000    0.000    0.000 _isocbind.py:1(<module>)
     2763    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:790(_search_paths)
       18    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp857.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
      465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        1    0.000    0.000    0.000    0.000 cp860.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _backend.py:330(set_global_backend)
       23    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
      122    0.000    0.000    0.000    0.000 Image.py:532(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      528    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
      144    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:750(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       46    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 euc_jp.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.000    0.000 inspect.py:3300(__str__)
        1    0.000    0.000    0.000    0.000 _base.py:59(_Waiter)
       47    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_build}
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 cp861.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shift_jis_2004.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic.py:45(Op)
        1    0.000    0.000    0.000    0.000 iso8859_2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp273.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp500.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso2022_jp_2004.py:1(<module>)
      287    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        2    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 kz1048.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:1413(_missing_)
        1    0.000    0.000    0.000    0.000 mac_turkish.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       84    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       94    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
       52    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
      465    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       22    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:2589(all)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
      622    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
      644    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        7    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:855(register)
        1    0.000    0.000    0.000    0.000 cp865.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp869.py:1(<module>)
       27    0.000    0.000    0.000    0.000 enum.py:1034(_find_new_)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       44    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
       56    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 cp1250.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:453(get_makefile_filename)
      400    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       61    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
        5    0.000    0.000    0.000    0.000 __init__.py:24(attach)
     1770    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 symbolic.py:113(Precedence)
        1    0.000    0.000    0.000    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.000    0.000 iso2022_jp_ext.py:1(<module>)
      130    0.000    0.000    0.000    0.000 Image.py:542(im)
      556    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:728(search)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mac_iceland.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        1    0.000    0.000    0.000    0.000 cp1006.py:1(<module>)
       16    0.000    0.000    0.000    0.000 inspect.py:2830(__str__)
       30    0.000    0.000    0.000    0.000 utils.py:838(_supported_float_type)
        1    0.000    0.000    0.000    0.000 cp864.py:1(<module>)
       90    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        2    0.000    0.000    0.000    0.000 sysconfig.py:188(_safe_realpath)
       30    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.map_buffer}
       13    0.000    0.000    0.000    0.000 core.py:8784(__init__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:420(realpath)
        1    0.000    0.000    0.000    0.000 pydoc.py:1229(TextDoc)
        1    0.000    0.000    0.000    0.000 pydoc.py:1906(Helper)
      155    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      498    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
        7    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
        1    0.000    0.000    0.000    0.000 _orthogonal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_10.py:1(<module>)
      377    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
      230    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:358(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 cp1026.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
      846    0.000    0.000    0.000    0.000 _docscrape.py:46(reset)
        1    0.000    0.000    0.000    0.000 realtransforms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic.py:96(ArithOp)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      925    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 iso8859_6.py:1(<module>)
       81    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x7feb2ebca340}
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       13    0.000    0.000    0.000    0.000 core.py:8789(getdoc)
      3/2    0.000    0.000    0.000    0.000 <frozen posixpath>:429(_joinrealpath)
        1    0.000    0.000    0.000    0.000 _morphology.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      136    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
      553    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      151    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
        2    0.000    0.000    0.000    0.000 sysconfig.py:110(_getuserbase)
        6    0.000    0.000    0.000    0.000 numeric.py:2690(extend_all)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mac_greek.py:1(<module>)
       15    0.000    0.000    0.000    0.000 inspect.py:2030(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 __init__.py:811(read_text)
        1    0.000    0.000    0.000    0.000 cp950.py:1(<module>)
      101    0.000    0.000    0.000    0.000 types.py:192(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       16    0.000    0.000    0.000    0.000 sysconfig.py:254(_subst_vars)
       26    0.000    0.000    0.000    0.000 core.py:966(__init__)
    89/87    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       16    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
        1    0.000    0.000    0.000    0.000 cp1257.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_8.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 cp875.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cfuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
      534    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 core.py:6798(__new__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       16    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
      127    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
       98    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 f90mod_rules.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       18    0.000    0.000    0.000    0.000 core.py:1042(__init__)
        1    0.000    0.000    0.000    0.000 euc_kr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_4.py:1(<module>)
      381    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 iso2022_jp_1.py:1(<module>)
       61    0.000    0.000    0.000    0.000 Image.py:3053(_check_size)
        1    0.000    0.000    0.000    0.000 mac_latin2.py:1(<module>)
        2    0.000    0.000    0.000    0.000 random.py:126(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2975(TypedDict)
      227    0.000    0.000    0.000    0.000 _internal.py:904(<genexpr>)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:685(zip_children)
       27    0.000    0.000    0.000    0.000 enum.py:956(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 gb2312.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tis_620.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 __init__.py:347(__new__)
        1    0.000    0.000    0.000    0.000 iso2022_jp_3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 johab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_13.py:1(<module>)
        1    0.000    0.000    0.000    0.000 euc_jis_2004.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _at.py:27(_AtOp)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1920(Chebyshev)
        2    0.000    0.000    0.000    0.000 pathlib.py:731(parent)
        1    0.000    0.000    0.000    0.000 _fft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:272(__init__)
        1    0.000    0.000    0.000    0.000 latin_1.py:1(<module>)
       18    0.000    0.000    0.000    0.000 inspect.py:1463(formatannotation)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       13    0.000    0.000    0.000    0.000 enum.py:1403(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 iso8859_16.py:1(<module>)
      191    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 __init__.py:145(make)
      115    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 iso8859_15.py:1(<module>)
       30    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
        1    0.000    0.000    0.000    0.000 case.py:345(TestCase)
        1    0.000    0.000    0.000    0.000 __init__.py:611(DistributionFinder)
      346    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
        1    0.000    0.000    0.000    0.000 shift_jis.py:1(<module>)
      100    0.000    0.000    0.000    0.000 _ni_support.py:37(_extend_mode_to_code)
      191    0.000    0.000    0.000    0.000 inspect.py:378(isfunction)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1280(__init__)
      826    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 fileinput.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp874.py:1(<module>)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:578(swapaxes)
       16    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
        1    0.000    0.000    0.000    0.000 _fourier.py:1(<module>)
       85    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 koi8_r.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:87(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs_iso2022.getcodec}
        2    0.000    0.000    0.000    0.000 typing.py:1546(__getitem__)
        4    0.000    0.000    0.000    0.000 getlimits.py:87(_str_smallest_subnormal)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      449    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 ExifTags.py:352(IFD)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       46    0.000    0.000    0.000    0.000 __init__.py:286(visit_ImportFrom)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:464(inner)
        1    0.000    0.000    0.000    0.000 _natype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iso8859_14.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:77(Day)
       44    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       27    0.000    0.000    0.000    0.000 enum.py:383(__init__)
      723    0.000    0.000    0.000    0.000 inspect.py:2796(name)
        1    0.000    0.000    0.000    0.000 euc_jisx0213.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shift_jisx0213.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hp_roman8.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2766(MaskedArray)
        1    0.000    0.000    0.000    0.000 ptcp154.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _sysconfigdata__linux_x86_64-linux-gnu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1575(__getitem__)
        2    0.000    0.000    0.000    0.000 _pep440.py:117(parse)
        1    0.000    0.000    0.000    0.000 __init__.py:1313(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:594(HTMLDoc)
        1    0.000    0.000    0.000    0.000 Image.py:127(Transpose)
      449    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 koi8_u.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mac_cyrillic.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
      483    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:179(_ndptr)
        2    0.000    0.000    0.000    0.000 typing.py:1560(__getitem_inner__)
       46    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 iso8859_7.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:2510(overload)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:103(dtype_from_ctypes_type)
       24    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 interpolation.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1022(read_text)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       95    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
