sobel: 2.5854s
canny: 1.2202s
kovalevsky: 0.6315s
         794736 function calls (772285 primitive calls) in 4.499 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      238    0.034    0.000    0.069    0.000 inspect.py:882(cleandoc)
 1298/115    0.026    0.000    0.064    0.001 _compiler.py:37(_compile)
 8121/211    0.027    0.000    0.061    0.000 copy.py:118(deepcopy)
  430/211    0.008    0.000    0.058    0.000 copy.py:217(_deepcopy_dict)
        2    0.000    0.000    0.058    0.029 _adapters.py:1(<module>)
      170    0.015    0.000    0.053    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.052    0.052 _index_tricks_impl.py:1(<module>)
      210    0.005    0.000    0.052    0.000 _docscrape.py:366(_parse_summary)
        1    0.000    0.000    0.051    0.051 message.py:1(<module>)
      465    0.004    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.050    0.050 Image.py:1(<module>)
        2    0.000    0.000    0.047    0.023 _linalg.py:1(<module>)
        1    0.000    0.000    0.046    0.046 defmatrix.py:1(<module>)
      210    0.006    0.000    0.045    0.000 _docscrape.py:599(__str__)
     3671    0.044    0.000    0.044    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.001    0.001    0.043    0.043 rules.py:1(<module>)
       30    0.001    0.000    0.039    0.001 Image.py:915(convert)
       30    0.001    0.000    0.038    0.001 Image.py:710(__array_interface__)
109017/107682    0.037    0.000    0.037    0.000 {built-in method builtins.len}
      238    0.036    0.000    0.037    0.000 {built-in method builtins.eval}
      210    0.003    0.000    0.037    0.000 _array_api.py:744(_make_capabilities_note)
       30    0.002    0.000    0.037    0.001 Image.py:748(tobytes)
      548    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:416(__enter__)
       40    0.036    0.001    0.037    0.001 _function_base_impl.py:1369(diff)
      925    0.012    0.000    0.036    0.000 <frozen importlib._bootstrap>:304(acquire)
      210    0.006    0.000    0.036    0.000 _docscrape.py:548(__str__)
  302/223    0.001    0.000    0.036    0.000 typing.py:392(inner)
     2188    0.036    0.000    0.036    0.000 {method 'findall' of 're.Pattern' objects}
       20    0.000    0.000    0.036    0.002 utils.py:718(convert_to_float)
     2095    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    62/51    0.001    0.000    0.035    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
      140    0.002    0.000    0.035    0.000 _ni_support.py:78(_get_output)
     2108    0.034    0.000    0.034    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.033    0.033 _realtransforms.py:1(<module>)
    62/51    0.015    0.000    0.033    0.001 {built-in method _imp.exec_dynamic}
       80    0.032    0.000    0.032    0.000 {built-in method numpy.zeros}
    38497    0.031    0.000    0.031    0.000 {method 'startswith' of 'str' objects}
      532    0.006    0.000    0.031    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1183    0.002    0.000    0.031    0.000 _docscrape.py:85(read_to_next_unindented_line)
       60    0.001    0.000    0.031    0.001 fromnumeric.py:51(_wrapfunc)
       10    0.000    0.000    0.029    0.003 fromnumeric.py:2241(clip)
       20    0.029    0.001    0.029    0.001 {method 'convert' of 'ImagingCore' objects}
       10    0.000    0.000    0.029    0.003 {method 'clip' of 'numpy.ndarray' objects}
       10    0.029    0.003    0.029    0.003 _methods.py:99(_clip)
      930    0.010    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
     1483    0.003    0.000    0.027    0.000 __init__.py:179(sub)
        2    0.001    0.000    0.027    0.013 _aliases.py:1(<module>)
    46036    0.027    0.000    0.027    0.000 {method 'strip' of 'str' objects}
      465    0.025    0.000    0.025    0.000 {built-in method _io.open_code}
     6020    0.014    0.000    0.024    0.000 _docscrape.py:57(seek_next_non_empty_line)
3699/3250    0.010    0.000    0.024    0.000 {built-in method __new__ of type object at 0x7feb3e0ce600}
       93    0.000    0.000    0.024    0.000 inspect.py:3346(signature)
        1    0.000    0.000    0.023    0.023 _filters.py:1(<module>)
       93    0.001    0.000    0.023    0.000 inspect.py:3081(from_callable)
       50    0.023    0.000    0.023    0.000 {method 'astype' of 'numpy.ndarray' objects}
   100/93    0.005    0.000    0.022    0.000 inspect.py:2501(_signature_from_callable)
    12891    0.018    0.000    0.022    0.000 {method 'join' of 'str' objects}
      992    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:632(cached)
    40164    0.021    0.000    0.021    0.000 {built-in method builtins.isinstance}
       34    0.003    0.000    0.021    0.001 enum.py:528(__new__)
    24999    0.013    0.000    0.021    0.000 _docscrape.py:64(eof)
      527    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        1    0.000    0.000    0.020    0.020 multiarray.py:1(<module>)
     4410    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      462    0.014    0.000    0.019    0.000 _compiler.py:243(_optimize_charset)
        2    0.000    0.000    0.019    0.009 overrides.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _pickle.py:1(<module>)
      925    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.018    0.018 _docscrape.py:1(<module>)
       61    0.002    0.000    0.017    0.000 _internal.py:32(inner)
        1    0.001    0.001    0.017    0.017 socket.py:1(<module>)
       86    0.001    0.000    0.017    0.000 auxfuncs.py:614(l_and)
    15384    0.011    0.000    0.017    0.000 _docscrape.py:80(is_empty)
    17787    0.017    0.000    0.017    0.000 {built-in method builtins.min}
      146    0.007    0.000    0.017    0.000 _docscrape.py:290(_parse_see_also)
    34029    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
     1890    0.008    0.000    0.017    0.000 _docscrape.py:475(_str_param_list)
        2    0.000    0.000    0.017    0.008 _helper.py:1(<module>)
      377    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       30    0.016    0.001    0.016    0.001 {method 'join' of 'bytes' objects}
     4350    0.008    0.000    0.016    0.000 _docscrape.py:86(is_unindented)
      465    0.016    0.000    0.016    0.000 {method 'read' of '_io.BufferedReader' objects}
     4763    0.016    0.000    0.016    0.000 {method 'split' of 'str' objects}
        7    0.003    0.000    0.016    0.002 enum.py:918(_convert_)
    10004    0.009    0.000    0.015    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.015    0.015 ExifTags.py:1(<module>)
       93    0.006    0.000    0.015    0.000 inspect.py:2397(_signature_from_function)
      245    0.002    0.000    0.015    0.000 typing.py:1269(__init__)
        1    0.001    0.001    0.015    0.015 numeric.py:1(<module>)
  107/103    0.000    0.000    0.015    0.000 typing.py:515(__getitem__)
      800    0.015    0.000    0.015    0.000 {method 'encode' of 'ImagingEncoder' objects}
      103    0.001    0.000    0.015    0.000 typing.py:694(Union)
        1    0.000    0.000    0.015    0.015 __init__.py:856(distribution)
        1    0.000    0.000    0.015    0.015 __init__.py:383(from_name)
       95    0.000    0.000    0.015    0.000 {built-in method builtins.next}
    22576    0.014    0.000    0.014    0.000 _docscrape.py:43(__getitem__)
        1    0.000    0.000    0.014    0.014 _dtype_like.py:1(<module>)
       31    0.014    0.000    0.014    0.000 numeric.py:137(ones)
      925    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap>:124(setdefault)
      527    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
    20813    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
        7    0.000    0.000    0.014    0.002 __init__.py:794(<genexpr>)
      703    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        6    0.000    0.000    0.014    0.002 __init__.py:692(search)
      754    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       16    0.000    0.000    0.013    0.001 _functools.py:75(wrapper)
      449    0.007    0.000    0.013    0.000 enum.py:254(__set_name__)
       28    0.000    0.000    0.013    0.000 _basic.py:18(_dispatch)
       28    0.001    0.000    0.013    0.000 _backend.py:174(generate_multimethod)
        2    0.000    0.000    0.012    0.006 linalg.py:1(<module>)
 1551/475    0.008    0.000    0.012    0.000 _parser.py:178(getwidth)
       35    0.005    0.000    0.012    0.000 __init__.py:355(namedtuple)
        6    0.000    0.000    0.012    0.002 __init__.py:701(lookup)
        6    0.002    0.000    0.012    0.002 __init__.py:707(__init__)
       62    0.000    0.000    0.012    0.000 typing.py:1288(__or__)
       18    0.001    0.000    0.012    0.001 typing.py:2814(__new__)
        1    0.000    0.000    0.012    0.012 _delegation.py:1(<module>)
      925    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap>:372(release)
       92    0.000    0.000    0.012    0.000 auxfuncs.py:630(l_not)
       28    0.001    0.000    0.011    0.000 _backend.py:312(get_defaults)
     7204    0.008    0.000    0.011    0.000 _docscrape.py:91(peek)
    23119    0.011    0.000    0.011    0.000 {method 'lstrip' of 'str' objects}
      360    0.001    0.000    0.011    0.000 _parser.py:98(closegroup)
      925    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      287    0.002    0.000    0.011    0.000 overrides.py:142(decorator)
      930    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      527    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.011    0.011 _testutils.py:1(<module>)
       34    0.000    0.000    0.011    0.000 doccer.py:283(decorate)
       18    0.000    0.000    0.010    0.001 typing.py:2795(_make_nmtuple)
        1    0.010    0.010    0.010    0.010 cp737.py:1(<module>)
       34    0.002    0.000    0.010    0.000 doccer.py:29(docformat)
        1    0.000    0.000    0.010    0.010 _array_like.py:1(<module>)
       56    0.010    0.000    0.010    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.010    0.010 pathlib.py:1(<module>)
        1    0.000    0.000    0.010    0.010 tempfile.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _funcs.py:1(<module>)
       50    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
       58    0.000    0.000    0.009    0.000 typing.py:521(__getitem__)
    14082    0.009    0.000    0.009    0.000 {built-in method builtins.getattr}
      548    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:420(__exit__)
      393    0.003    0.000    0.009    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.009    0.009 _fftlog.py:1(<module>)
        1    0.000    0.000    0.009    0.009 shape_base.py:1(<module>)
     3370    0.006    0.000    0.009    0.000 copy.py:231(_keep_alive)
     5554    0.004    0.000    0.008    0.000 _parser.py:261(get)
        1    0.000    0.000    0.008    0.008 _at.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _char_codes.py:1(<module>)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
     2940    0.005    0.000    0.008    0.000 copy.py:191(_deepcopy_list)
       58    0.001    0.000    0.008    0.000 typing.py:753(Literal)
        2    0.000    0.000    0.008    0.004 _backend.py:1(<module>)
      494    0.004    0.000    0.008    0.000 functools.py:35(update_wrapper)
        7    0.004    0.001    0.008    0.001 enum.py:1707(convert_class)
       10    0.000    0.000    0.008    0.001 Image.py:1254(copy)
      542    0.004    0.000    0.008    0.000 enum.py:390(__setitem__)
      465    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
        1    0.000    0.000    0.008    0.008 _parseaddr.py:1(<module>)
      926    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
        1    0.002    0.002    0.008    0.008 symbolic.py:1(<module>)
        2    0.000    0.000    0.008    0.004 abc.py:1(<module>)
       10    0.008    0.001    0.008    0.001 {method 'copy' of 'ImagingCore' objects}
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
      253    0.003    0.000    0.007    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.007    0.007 capi_maps.py:1(<module>)
     1000    0.005    0.000    0.007    0.000 _array_api.py:684(__str__)
        1    0.000    0.000    0.007    0.007 pydoc.py:1(<module>)
      996    0.005    0.000    0.007    0.000 _docscrape.py:188(_strip)
    56/15    0.000    0.000    0.007    0.000 typing.py:1294(__getitem__)
     7872    0.007    0.000    0.007    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 image_filters.py:1(<module>)
       99    0.000    0.000    0.007    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.007    0.003 _internal.py:1(<module>)
      141    0.001    0.000    0.007    0.000 _array_api.py:784(xp_capabilities)
        2    0.000    0.000    0.007    0.003 dataclasses.py:1264(wrap)
        2    0.000    0.000    0.007    0.003 dataclasses.py:921(_process_class)
      470    0.007    0.000    0.007    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.006    0.006 hmac.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _npyio_impl.py:1(<module>)
     4106    0.005    0.000    0.006    0.000 {built-in method builtins.setattr}
      546    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.006    0.006 _pep440.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _docscrape.py:112(NumpyDocString)
        1    0.000    0.000    0.006    0.006 charset.py:1(<module>)
      115    0.002    0.000    0.006    0.000 _compiler.py:516(_compile_info)
      311    0.001    0.000    0.006    0.000 function_base.py:487(add_newdoc)
        1    0.001    0.001    0.006    0.006 core.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _add_newdocs.py:1(<module>)
      141    0.005    0.000    0.006    0.000 _array_api.py:690(_make_sphinx_capabilities)
        5    0.000    0.000    0.006    0.001 __init__.py:304(attach_stub)
        1    0.000    0.000    0.006    0.006 subprocess.py:1(<module>)
      230    0.002    0.000    0.006    0.000 enum.py:1561(__and__)
       50    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
        1    0.000    0.000    0.006    0.006 fft.py:1(<module>)
        1    0.000    0.000    0.005    0.005 parse.py:1(<module>)
       48    0.002    0.000    0.005    0.000 doccer.py:225(indentcount_lines)
     1338    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
      465    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
      252    0.001    0.000    0.005    0.000 overrides.py:83(verify_matching_signatures)
      497    0.002    0.000    0.005    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.005    0.005 _logsumexp.py:1(<module>)
     1697    0.003    0.000    0.005    0.000 typing.py:1215(__setattr__)
      210    0.003    0.000    0.005    0.000 _docscrape.py:499(_str_see_also)
        1    0.000    0.000    0.005    0.005 main.py:1(<module>)
       51    0.005    0.000    0.005    0.000 {built-in method builtins.compile}
     1194    0.002    0.000    0.005    0.000 {built-in method builtins.max}
       31    0.000    0.000    0.005    0.000 Image.py:3072(new)
    15189    0.005    0.000    0.005    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.005    0.005 big5hkscs.py:1(<module>)
    56/15    0.000    0.000    0.005    0.000 typing.py:1326(_determine_new_args)
        1    0.000    0.000    0.005    0.005 _pep440.py:285(Version)
    56/15    0.001    0.000    0.005    0.000 typing.py:1355(_make_substitution)
        1    0.000    0.000    0.005    0.005 decoder.py:1(<module>)
        1    0.000    0.000    0.005    0.005 calendar.py:1(<module>)
      925    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:74(__new__)
      465    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        1    0.000    0.000    0.005    0.005 cb_rules.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _policybase.py:1(<module>)
      781    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        2    0.000    0.000    0.004    0.002 dataclasses.py:1247(dataclass)
       30    0.002    0.000    0.004    0.000 Image.py:3251(fromarray)
        1    0.000    0.000    0.004    0.004 case.py:1(<module>)
      603    0.002    0.000    0.004    0.000 typing.py:1640(__hash__)
     1395    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1183    0.003    0.000    0.004    0.000 _docscrape.py:16(strip_blank_lines)
        2    0.000    0.000    0.004    0.002 _helpers.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
     3707    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
     9755    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
      159    0.003    0.000    0.004    0.000 inspect.py:3029(__init__)
     3318    0.003    0.000    0.004    0.000 _parser.py:256(match)
       31    0.004    0.000    0.004    0.000 {built-in method PIL._imaging.fill}
      491    0.002    0.000    0.004    0.000 inspect.py:2743(__init__)
     4776    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.004    0.004 _ccallback.py:1(<module>)
     2278    0.002    0.000    0.004    0.000 typing.py:1161(_is_dunder)
     1478    0.004    0.000    0.004    0.000 _docscrape.py:457(_str_indent)
      339    0.000    0.000    0.004    0.000 typing.py:730(<genexpr>)
       25    0.000    0.000    0.004    0.000 auxfuncs.py:622(l_or)
        1    0.000    0.000    0.004    0.004 _common.py:1(<module>)
       14    0.000    0.000    0.004    0.000 core.py:113(doc_note)
      553    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        2    0.000    0.000    0.004    0.002 basic.py:1(<module>)
      137    0.001    0.000    0.004    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
       40    0.002    0.000    0.004    0.000 _filters.py:656(_gaussian_kernel1d)
      245    0.001    0.000    0.003    0.000 typing.py:1174(__init__)
      550    0.001    0.000    0.003    0.000 _compiler.py:403(_simple)
        1    0.000    0.000    0.003    0.003 ImageOps.py:1(<module>)
      730    0.001    0.000    0.003    0.000 enum.py:720(__call__)
      925    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.003    0.003 cp932.py:1(<module>)
        1    0.001    0.001    0.003    0.003 constant.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ExifTags.py:21(Base)
        1    0.000    0.000    0.003    0.003 _ni_docstrings.py:1(<module>)
        1    0.000    0.000    0.003    0.003 extras.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
       46    0.000    0.000    0.003    0.000 typing.py:892(__init__)
        1    0.000    0.000    0.003    0.003 polynomial.py:1(<module>)
     3104    0.002    0.000    0.003    0.000 _parser.py:176(append)
      546    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:982(find_spec)
     2138    0.002    0.000    0.003    0.000 _docscrape.py:403(<genexpr>)
      103    0.000    0.000    0.003    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.003    0.003 uarray.py:1(<module>)
      210    0.001    0.000    0.003    0.000 _docscrape.py:591(get_func)
     1063    0.001    0.000    0.003    0.000 _docscrape.py:454(_str_header)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
      577    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.003    0.003 big5.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _compat.py:1(<module>)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
      287    0.001    0.000    0.003    0.000 {built-in method fromkeys}
      840    0.002    0.000    0.003    0.000 _docscrape.py:491(_str_section)
